lema,cantidad
adecuado,20
comercio internacional,20
desarrollo politica,20
descentralizado,20
dicho,20
dirigido,20
igualdad,20
integrado,20
medio,20
mercosur,20
ministroa,20
politica plan programa,20
programacion,20
promocion desarrollo,20
proyecto area competencia,20
reunion,20
secretaria elaboracion,20
sistema nacional,20
comision nacional,19
complementario,19
conforme directiva,19
congreso,19
coordinacion organismo,19
diagnostico,19
ejecucion plan,19
elaborado,19
equipamiento,19
estructura,19
insercion,19
internacional materia,19
juridico,19
normativa vigente,19
respuesta,19
resultado,19
seguridad social,19
tematica,19
tratado,19
valor,19
accion necesario,18
aprobacion,18
cadena,18
construccion,18
cumplimiento objetivo,18
efecto,18
ejecucion programa,18
elaboracion plan,18
laboral,18
material,18
ministerio relacion,18
nacion jefe gabinete,18
nacional elaboracion,18
operacion,18
plazo,18
politica publica,18
presidencia,18
presidente nacion jefe,18
prioritario,18
regulatorio,18
riesgo,18
subsidio,18
transporte,18
universidad,18
abordaje,17
accion organismo,17
activo,17
area ministerio,17
competencia elaboracion,17
consolidacion,17
constitucion nacional,17
consulta,17
consumo,17
contratacion,17
credito,17
culto,17
diseno implementacion politica,17
distinto jurisdiccion,17
evaluacion politica,17
gabinete ministro orden,17
implementacion programa,17
instituto nacional,17
interes,17
ministro orden,17
ministro orden competencia,17
modernizacion,17
nacional provincia,17
nacional secretaria,17
natural,17
orden competencia,17
organismo nacional provincial,17
planeamiento,17
politica estrategia,17
preservacion,17
presupuesto,17
profesional,17
relevamiento,17
urbano,17
vida,17
ambiente,16
area competencia elaborado,16
ciencia,16
comercializacion,16
competencia elaborado,16
competencia elaborado conforme,16
comun,16
concesion,16
control tutelar,16
coordinacion ministerio,16
curso,16
determinacion objetivo,16
dialogo,16
elaborado conforme,16
elaborado conforme directiva,16
fiduciario,16
fisico,16
fondo fiduciario,16
formulacion ejecucion,16
indicador,16
involucrado,16
mantenimiento,16
monitoreo evaluacion,16
municipio ciudad,16
municipio ciudad autonomo,16
nacional organismo,16
organismo competente,16
personal,16
politica area,16
presupuestario,16
provincia municipio ciudad,16
recuperacion,16
subsecretario,16
tecnica,16
toma,16
transferencia,16
tutelar,16
utilizacion,16
accion vinculado,15
actuacion,15
agenda,15
ambito competencia elaboracion,15
capital,15
competencia plan,15
conforme directiva ejecutivo,15
congreso nacion,15
conservacion,15
contrato,15
cooperacion internacional,15
coordinado,15
cultura,15
cuyo,15
definicion politica,15
dependiente,15
determinacion objetivo politica,15
directiva ejecutivo,15
directiva ejecutivo nacional,15
diversidad,15
documento,15
estandar,15
familiar,15
fiscal,15
foro,15
gobierno nacional,15
gobierno provincial ciudad,15
iniciativa,15
investigacion desarrollo,15
jurisdiccion provincial,15
legal,15
legislativo,15
marco regulatorio,15
modificatoria,15
organizacion gubernamental,15
politica social,15
practica,15
reconocimiento,15
reforma,15
relacion exterior,15
resolucion,15
sanitario,15
secretaria coordinacion,15
solucion,15
tendra,15
toma decision,15
tratamiento,15
zona,15
accion materia,14
alcance,14
alto,14
aprovechamiento,14
area competencia plan,14
asignado,14
atinente,14
basado,14
cargo,14
celebracion,14
competencia accion,14
competencia ministerio,14
competente materia,14
compromiso,14
concurso,14
coordinacion area administracion,14
coordinacion politica,14
demas,14
desempeno,14
directo,14
distinto area,14
elaboracion proyecto,14
equidad,14
etapa,14
explotacion,14
exterior comercio,14
exterior comercio internacional,14
habitante,14
honorable,14
honorable congreso,14
honorable congreso nacion,14
industrial,14
ingreso,14
insumo,14
judicial,14
legislacion,14
mediano plazo,14
ministerio relacion exterior,14
mision,14
nacional materia,14
naturaleza,14
objetivo politica area,14
obligacion,14
organismo publico,14
pertinente,14
politica area competencia,14
popular,14
proveniente,14
punto,14
relacion exterior comercio,14
servicio publico,14
sistematizacion,14
termino,14
agencia,13
aplicacion politica,13
area competente administracion,13
autorizacion,13
ciudadano,13
colectivo,13
comercio internacional culto,13
competencia coordinacion,13
competencia inherente,13
competencia plan programa,13
competente administracion,13
concerniente,13
conformidad,13
control fiscalizacion,13
cooperacion tecnico,13
coordinacion accion,13
desarrollo implementacion,13
diseno desarrollo,13
diverso,13
economica,13
economico social,13
eficiencia,13
ejecucion accion,13
existente,13
exportacion,13
global,13
gobierno provincial municipal,13
incorporacion,13
integrante,13
internacional coordinacion,13
internacional culto,13
logistico,13
modelo,13
modificacion,13
nacional ambito,13
nacional ambito competencia,13
obra infraestructura,13
obra publico,13
obtencion,13
orden competencia inherente,13
organismo descentralizado,13
organo,13
plan accion,13
plataforma,13
pliego,13
politica promocion,13
prestacion,13
protocolo,13
registro nacional,13
rehabilitacion,13
representacion nacional,13
tendra objetivo,13
transparencia,13
vulnerabilidad,13
accionar,12
anual,12
area administracion nacional,12
armado,12
asesoramiento,12
atinent,12
cambio,12
central,12
ciencia tecnologia,12
competente jurisdiccion,12
competente ministerio,12
digital,12
diseno estrategia,12
economico financiero,12
ejecucion plan programa,12
ente nacional,12
estadistica,12
facultad,12
frontera,12
igualdad oportunidad,12
licencia,12
linea,12
militar,12
ministerio desarrollo,12
ministerio economia,12
mundial,12
nacional accion,12
pequeno,12
productividad,12
racional,12
representante,12
secretaria relacion,12
sustentable,12
tema relacionado,12
turismo,12
vinculado area,12
administracion nacional competencia,11
agua,11
area administracion publico,11
area competencia especifico,11
area competente ministerio,11
avance,11
banco,11
base condicion,11
campo,11
comite,11
competencia politica,11
competencia secretaria,11
conflicto,11
contralor,11
costo,11
desarrollo sostenible,11
enlace,11
equipo,11
especial temporario unidad,11
estadistico,11
estudio investigacion,11
exterior coordinacion,11
financiero internacional,11
fuerza armado,11
gubernamental gubernamental,11
habitat,11
implementacion plan,11
interinstitucional,11
internacional ambito,11
internacional vinculado,11
jurisdiccion entidad,11
licitacion,11
licitatorio,11
lineamiento estrategico,11
materia politica,11
miembro,11
mujer,11
nacional diseno,11
nacional formulacion,11
nacional gobierno,11
nacional provincial ciudad,11
nacional regional,11
nacional relacion,11
ordenamiento,11
particular determinacion,11
politica materia,11
presidencia nacion,11
primario ministra,11
proceso integracion,11
programa nacional,11
punto vista,11
recomendacion,11
recurso natural,11
reglamentario,11
relacion organismo,11
relevante,11
responsabilidad primario ministra,11
secretaria desarrollo,11
secretaria diseno,11
seguimiento politica,11
temporario unidad,11
transformacion,11
unico,11
violencia,11
vista,11
vivienda,11
abordaje integral,10
accion area,10
accion destinado,10
aires municipal,10
apertura,10
aplicable,10
archivo,10
argentino exterior,10
asociacion,10
autonomo aires municipal,10
bien servicio,10
celebracion convenio,10
cientifico tecnologico,10
colaboracion,10
contable,10
coordinacion ejecucion,10
coordinacion organismo nacional,10
cumplimiento normativa,10
cumplimiento politica,10
delito,10
desarrollo actividad,10
desarrollo economico,10
diseno elaboracion,10
economia regional,10
educativo nacional,10
efectivo,10
eficiente,10
elaboracion implementacion,10
elaboracion norma,10
especializado,10
especialmente,10
estatal,10
estrategia politica,10
evolucion,10
formulacion implementacion,10
fortalecimiento capacidad,10
gasto,10
generado,10
implementacion accion,10
implementacion estrategia,10
inclusion social,10
industria,10
intersectorial,10
jefatura,10
jefatura gabinete,10
jurisdiccion nacional,10
maritimo,10
materia secretaria,10
medida tendient,10
mejora calidad,10
mesa,10
meta,10
ministerio competencia,10
ministerio defensa,10
ministerio educacion,10
ministerio salud,10
nacional ciencia,10
objetivo diseno,10
particular determinacion objetivo,10
pauta,10
planificacion ejecucion,10
pliego base,10
pliego base condicion,10
primario politica,10
principio,10
problema,10
problematica,10
productor,10
promocion proteccion,10
propuesta ejecucion,10
proyecto inversion,10
publico nacional competencia,10
realizacion estudio,10
regional internacional,10
reglamento,10
relacion institucional,10
responsabilidad primario politica,10
sector productivo,10
sector publico privado,10
sexual,10
sistema educativo,10
superior,10
sustentabilidad,10
tecnologia innovacion,10
trabajador,10
actualizado,9
adecuacion,9
adquisicion,9
area competente jurisdiccion,9
armonizacion,9
articulo constitucion,9
articulo constitucion nacional,9
aspecto relativo,9
barrio,9
calidad vida,9
ciencia tecnologia innovacion,9
circuito,9
cobertura,9
competente administracion publico,9
conduccion,9
consideracion,9
convenio internacional,9
coordinacion secretaria,9
crecimiento,9
criminal,9
cualquiera,9
cuidado,9
curso accion,9
definido,9
delegacion,9
deportivo,9
desarrollo proyecto,9
desarrollo tecnologico,9
despliegue,9
dictado,9
diseno ejecucion politica,9
disponible,9
documentacion,9
droga,9
ejecucion evaluacion,9
ejecucion politica desarrollo,9
elaboracion ejecucion politica,9
empleo seguridad,9
empleo seguridad social,9
empresa sector,9
equitativo,9
especifico materia,9
fijacion,9
formulacion ejecucion politica,9
formular,9
fuente,9
funcional,9
habitacional,9
identidad,9
impacto economico,9
individual,9
instalacion,9
interaccion,9
jurisdiccional,9
justicia derechos,9
justicia derechos humanos,9
llamado,9
metodologia,9
ministerio interior,9
ministerio justicia,9
ministerio justicia derechos,9
motivo,9
nacional competente,9
nacional desarrollo,9
nacional gobierno provincial,9
organismo gubernamental,9
origen,9
plan proyecto,9
planificacion desarrollo,9
planificacion estrategico,9
poblacional,9
policia,9
politica exterior,9
prestacion servicio,9
representativo,9
responsable,9
rural,9
seguro,9
sistema educativo nacional,9
situacion vulnerabilidad,9
socio,9
tecnologio,9
trabajo empleo,9
trabajo empleo seguridad,9
tributario,9
vigente materia,9
vinculado area competencia,9
vinculado competencia,9
vinculo,9
academico,8
accion conjunto,8
accion relativo,8
accion vinculado area,8
actividad vinculado,8
actor social,8
afectado,8
agregado,8
aires municipio,8
ambito competencia accion,8
ambito competencia secretaria,8
ambito nacional,8
aplicacion norma,8
aplicacion normativa,8
aplicacion tratado,8
aplicado,8
area gobierno,8
area ministerio competencia,8
articulacion politica,8
asociado,8
atribucion,8
autonomo aires municipio,8
beneficio,8
cabo,8
camara,8
ciclo,8
ciudadania,8
compensacion,8
competencia gestion,8
competencia materia secretaria,8
concurso licitacion,8
concurso licitacion proceso,8
conferencia,8
controversia,8
convocatoria,8
cooperativo,8
cuerpo,8
deporte,8
desarrollo integral,8
desastre,8
descentralizacion,8
desconcentrado,8
digitalizacion,8
docente,8
economia social,8
electronico,8
empleador,8
evaluacion impacto,8
experiencia,8
fluvial,8
frente,8
funcionamiento sistema,8
gestion administrativo,8
gobierno local,8
implementado,8
infantil,8
informacion gestion,8
innovacion tecnologico,8
instancia,8
instruccion,8
inter,8
internacional ambito competencia,8
internacional desarrollo,8
interpretacion,8
jefatura gabinete ministro,8
legislacion nacional,8
licitacion proceso,8
licitacion proceso licitatorio,8
llamado concurso,8
llamado concurso licitacion,8
metropolitano,8
ministerial,8
ministerio trabajo,8
ministerio trabajo empleo,8
motivo accion,8
motivo accion vinculado,8
nacional coordinacion area,8
nacional transporte,8
nivel federal,8
nivel local,8
objetivo ministroa,8
observatorio,8
organismo competencia,8
organismo entidad,8
orientacion,8
particularidad,8
policial,8
politica curso,8
politica gestion,8
politica tendient,8
precio,8
presidencial,8
proceso licitatorio,8
programa desarrollo,8
programa promocion,8
provision,8
proyeccion,8
proyecto cooperacion,8
proyecto programa,8
publico sector,8
racional recurso,8
reduccion,8
regularizacion,8
representacion ministerio,8
salarial,8
secretaria planificacion,8
sistema nacional ciencia,8
sistema transporte,8
social diseno,8
sostenibilidad,8
suelo,8
sujeto,8
sustancia,8
sustantiva,8
tecnico financiero,8
terrestre,8
tipo,8
titulo,8
tramitacion,8
transversal,8
tratado internacional,8
turistico,8
victima,8
zona frontera,8
acceso habitat,7
accion organismo nacional,7
accion politica,7
acorde,7
actividad productivo,7
actor sector,7
administracion funcionamiento,7
aereo,7
agente,7
agricultura,7
alternativa,7
alternativo,7
ambito competencia politica,7
aplicacion regimen,7
area competente materia,7
armadas,7
articulacion accion,7
asignacion recurso,7
asumido,7
asunto internacional,7
ayuda,7
base condicion llamado,7
campana,7
canal,7
caracter federal,7
caracter nacional,7
carga,7
ciencia tecnologio,7
climatico,7
competencia desarrollo,7
competencia especifico materia,7
competencia programa,7
concernient,7
condicion llamado,7
condicion llamado concurso,7
confeccion,7
conjuntamente,7
convencion,7
coordinacion institucional,7
coordinacion organismo competente,7
corto,7
corto mediano,7
corto mediano plazo,7
cumplimiento funcion,7
dato informacion,7
declaracion,7
defensa derecho,7
definicion estrategia,7
desarrollo accion,7
desarrollo estrategia,7
desarrollo productivo,7
desarrollo programa,7
desarrollo social,7
desarrollo territorial,7
destinado ejecucion,7
deuda,7
diseno plan,7
diseno planificacion,7
disponibilidad,7
dispuesto,7
distinto actor,7
distinto region,7
donacion,7
ejecucion coordinacion,7
ejecucion evaluacion politica,7
ejecucion obra,7
ejecucion politica nacional,7
ejecucion proyecto,7
ejecucion supervision,7
elaboracion aplicacion,7
elaboracion plan programa,7
elaboracion propuesta ejecucion,7
energia,7
enfermedad,7
escenario,7
estudio analisis,7
exposicion,7
familia,7
feria,7
financiero nacional,7
finanza,7
fiscalizacion regimen,7
fondo nacional,7
formacion capacitacion,7
formulacion implementacion politica,7
fuerza armadas,7
fuerza policial,7
fuerza policial seguridad,7
general relativo,7
genero diversidad,7
gestion plan,7
gobierno ciudad,7
hidrico,7
incentivo,7
inciso,7
inscripcion,7
inspeccion,7
institucion sistema,7
integracion urbano,7
inteligencia,7
internacional credito,7
internacional multilateral,7
internacional objetivo,7
internacionalizacion,7
interno externo,7
investigacion cientifico,7
jefa,7
jefa gabinete,7
jefa gabinete ministro,7
jefe jefa,7
jefe jefa gabinete,7
jurisdiccion provincial ciudad,7
logro,7
marco politica,7
marcos,7
materia accion,7
materia derechos,7
materia derechos humanos,7
materia elaboracion,7
medico,7
migracion,7
ministerio desarrollo social,7
ministerio obra,7
nacional ciencia tecnologia,7
nacional implementacion,7
nacional organismo internacional,7
nacional planificacion,7
nacional politica,7
nacional sistema,7
naciones,7
naciones unidas,7
navegabl,7
normativa vigente materia,7
normatizacion,7
otorgado,7
pago,7
participacion publico,7
participacion publico privado,7
participativo,7
penal,7
pequeno mediano,7
perfil,7
plan nacional transporte,7
plan programa accion,7
planeamiento estrategico,7
planteado,7
policial seguridad,7
politica acceso,7
politica criminal,7
politica economico,7
politica formacion,7
politica nacional materia,7
politica norma,7
potencial,7
preventivo,7
privatizado,7
programa asistencia,7
programa politica,7
propuesta ejecucion politica,7
propuesta plan,7
prospectivo,7
proteccion derecho,7
proyecto obra,7
proyecto vinculado,7
publicacion,7
publico nacional provincial,7
razon,7
recurso hidrico,7
referencia,7
region pais,7
regional provincial,7
reglamentacion,7
reglamento general,7
relacion organizacion,7
representacion nacional organismo,7
resolucion conflicto,7
revision,7
secretaria articulacion,7
secretaria asunto,7
secretaria formulacion,7
secretaria promocion,7
seguimiento control,7
seguridad interior,7
servicio salud,7
sitio,7
social cultural,7
suscripcion,7
tecnicamente,7
tecnico materia,7
tendiente,7
tramite,7
transmision,7
unidas,7
accion accion,6
accion articulacion,6
accion asistencia,6
accion cooperacion,6
accion cumplimiento,6
accion promocion,6
acompanamiento,6
acreditacion,6
actividad turistico,6
acto administrativo,6
actor sector publico,6
actuant,6
actuant orbita,6
acuerdo convenio,6
adopcion,6
agropecuario,6
america,6
americano,6
aplicacion tratado convenio,6
arancelaria,6
area correspondiente,6
area sustantiva,6
argentino coordinacion,6
argentino politica,6
arreglo,6
articulacion area,6
articulacion federal,6
articulacion politica social,6
articulo inciso,6
artistico,6
asunto economico,6
aumento,6
cadena valor,6
capacidad gestion,6
capacitacion laboral,6
capacitacion recurso,6
captacion,6
caracteristica,6
centralizacion,6
certificacion,6
ciencia tecnologio innovacion,6
comercializacion producto,6
competencia jurisdiccion,6
componente,6
compromiso internacional,6
conjunto fuerza,6
consejo nacional,6
consejo seguridad,6
consejo seguridad interior,6
consenso,6
constitucional,6
consumidor,6
contexto,6
control area,6
control ejecucion,6
control politica,6
control tutelar instituto,6
convenio cooperacion,6
convenio entidad,6
convenio nacional,6
cooperacion organismo,6
cooperacion tecnico financiero,6
coordinacion autoridad,6
coordinacion relacion,6
coordinacion sistema,6
coordinacion subsecretaria,6
creacion desarrollo,6
creado decreto,6
critico,6
cuenta,6
defensa nacional,6
dependencia nacional,6
desarrollado,6
desarrollo capacidad,6
desarrollo consolidacion,6
desarrollo economia,6
desarrollo humano,6
desarrollo integracion,6
desarrollo local,6
desarrollo nacional,6
desarrollo pais,6
discapacidad,6
diseno politica social,6
disposicion,6
dispositivo,6
divulgacion,6
dominial,6
economia conocimiento,6
economico comercial,6
economico internacional,6
ejecucion fiscalizacion,6
ejecucion seguimiento,6
ejecutado,6
elaboracion contenido,6
elaboracion pliego,6
eliminacion,6
emergencia desastre,6
emision,6
emprendimiento,6
empresaria,6
empresaria organizacion,6
empresaria organizacion gubernamental,6
ente organismo,6
ente organismo control,6
entidad empresaria,6
entidad empresaria organizacion,6
entidad publico,6
entidad publico privado,6
entidad sector,6
entidad sector publico,6
esquema,6
estrategia desarrollo,6
estructura arancelaria,6
expansion,6
federal coordinacion,6
federal materia,6
federal politica,6
federal provincial,6
financiamiento externo,6
firma,6
foro internacional,6
funcion autoridad,6
funcionario,6
fundacion,6
futuro,6
garantia,6
genero accion,6
gestion informacion,6
gestion organismo,6
gestion politica,6
gobierno ciudad autonomo,6
grupo poblacional,6
gubernamental universidad,6
gubernamental universidad empresa,6
implementacion sistema,6
implementada,6
importacion,6
impuesto,6
incorporacion tecnologia,6
individual colectivo,6
indole,6
informacion estadistico,6
informacion publico,6
instrumento promocion,6
intergubernamental,6
internacional coordinacion area,6
internacional derechos,6
internacional derechos humanos,6
internacional marco,6
internacional pais,6
internacional reglamento,6
internacional reglamento general,6
internacional republica,6
internacional republica argentino,6
inversion publico,6
linea accion,6
logistica,6
lucha,6
lugar,6
materia ambito,6
materia ambito competencia,6
materia desarrollo,6
materia economico,6
materia recurso,6
mayor,6
mediano empresa,6
mejor,6
mejora competitividad,6
memoria,6
mercado interno,6
ministerio competencia materia,6
ministerio publico,6
ministerio seguridad,6
mitigacion,6
multilateral bilateral,6
nacional area,6
nacional aspecto,6
nacional definicion,6
nacional evaluacion,6
nacional plan,6
nacional relacionado,6
nino,6
nivel internacional,6
nivel nacional provincial,6
nuclear,6
objetivo coordinacion,6
objetivo estrategia,6
objetivo gestion,6
obra publica,6
oficial privado,6
oficina,6
operador,6
optimizacion,6
organismo control,6
organismo internacional credito,6
organismo internacional multilateral,6
organismo publico privado,6
organizacion gubernamental gubernamental,6
penitenciario,6
periodico,6
permiso,6
pesca,6
planificacion coordinacion,6
planificacion politica,6
planificacion seguimiento,6
policial seguridad federal,6
politica fiscal,6
politica fortalecimiento,6
politica innovacion,6
politica integral,6
politica relativo,6
politica seguridad,6
politica vinculado,6
primario formulacion,6
privado organizacion,6
produccion informacion,6
producido,6
profundizacion,6
programa especifico,6
programa proyecto cooperacion,6
programa proyecto relacionado,6
programa vinculado,6
promocion politica,6
propiedad,6
propuesto,6
provincial gobierno,6
provincial regional,6
proyecto relacionado,6
publicidad,6
publico responsabilidad,6
puerto,6
realidad,6
recepcion,6
recurso financiero,6
reequilibrio,6
reformulacion,6
regimen federal,6
regimen promocion,6
regional coordinacion,6
reglamento general relativo,6
regulatoria,6
relacion economica,6
relacion gobierno,6
relacion ministerio,6
rendicion,6
representacion republica,6
representacion republica argentino,6
republica argentino politica,6
resguardo,6
responsabilidad primario formulacion,6
restante,6
saber,6
sancion,6
secretaria definicion,6
secretaria participacion,6
seguridad federal,6
sistema unico,6
sistematico,6
situacion emergencia,6
situacion riesgo,6
social desarrollo,6
solucion controversia,6
supervision politica,6
suscripcion convenio,6
tecnologio innovacion,6
tema competencia,6
tendient desarrollo,6
tesoro,6
titular,6
tratado convenio,6
tribunal,6
turistico nacional,6
tutelar instituto,6
tutelar instituto nacional,6
universidad empresa,6
validez,6
valor agregado,6
vinculado actividad,6
vision,6
vulnerabilidad social,6
abierto,5
acceso informacion,5
accion desarrollo,5
accion fortalecimiento,5
accion ministerio,5
accion orientado,5
accion prevencion,5
accion programa,5
accion proyecto,5
acerca,5
actividad deportivo,5
actor local,5
actualizacion normativo,5
acuerdo bilateral,5
adolescente,5
agencia transporte,5
agencia transporte metropolitano,5
agropecuario ambito,5
agropecuario ambito competencia,5
aires organizacion,5
aires secretaria,5
alimentario,5
almacenamiento,5
ambito ministerio,5
ambito secretaria,5
ambos,5
analisis prospectivo,5
anteproyecto,5
aplicacion ejercicio,5
aplicacion marco,5
aplicacion marco regulatorio,5
area privatizado,5
area zona,5
area zona frontera,5
argentino desarrollo,5
argentino tema,5
arma,5
articulo inciso constitucion,5
asentamiento,5
asimismo,5
asistencia tecnico materia,5
asociacion profesional,5
asociativo,5
aspecto politica,5
aspecto vinculado,5
asunto economico financiero,5
asunto estrategico,5
asunto relativo,5
autonomia,5
autonomo aires organizacion,5
autonomo aires secretaria,5
autoridad aplicacion ejercicio,5
basico,5
beca,5
biotecnologia,5
calidad educacion,5
calificacion,5
calificado,5
cambio climatico,5
capacitacion recurso humano,5
caracter bilateral,5
caracter economico,5
centralizado,5
certificado,5
combustible,5
comercial internacional,5
comercial interno,5
compensacion tarifaria,5
competencia ambito,5
competencia ejecucion,5
competencia especifico administracion,5
competencia materia accion,5
competencia planificacion,5
competencia promocion,5
competencia propuesta,5
competencia relacion,5
competitivo,5
complementacion,5
comprendido,5
concertacion,5
consecucion,5
consejo federal agropecuario,5
consumo problematico,5
contable programa,5
contable programa proyecto,5
contemplado,5
control aplicacion,5
control area privatizado,5
convenio entidad empresaria,5
cooperacion asistencia,5
coordinacion area ministerio,5
coordinacion distinto,5
coordinacion gobierno,5
coordinacion ministerio relacion,5
coordinacion monitoreo,5
correspondencia,5
coyuntura,5
creado articulo,5
cumplimiento marco,5
cumplimiento marco regulatorio,5
cumplimiento normativa vigente,5
curso accion materia,5
debate,5
demas area,5
demas area administracion,5
dependencia nacional competente,5
desarrollo mercado,5
desarrollo promocion,5
desarrollo tecnologia,5
desigualdad,5
destinatario,5
deteccion,5
determinacion politica,5
determinado,5
direccion general,5
discusion,5
dispuesto articulo,5
distinto secretaria,5
economia secretario,5
economico financiero internacional,5
educacion superior,5
educativo accion,5
ejecutivo nacional formulacion,5
ejercicio derecho,5
elaboracion ejecucion fiscalizacion,5
elaboracion informe,5
elaboracion pliego base,5
elaboracion programa,5
elaboracion seguimiento,5
emanada,5
empleo recurso,5
empresa sociedad,5
endeudamiento,5
energetico,5
ensenanza,5
entidad administracion,5
entrenamiento,5
equivalencia,5
erogacion,5
escolar,5
espacio articulacion,5
especifico administracion,5
especifico administracion publico,5
establecido articulo,5
estrategia articulacion,5
estrategico desarrollo,5
estructuracion,5
estupefaciente,5
evaluacion impacto economico,5
evaluacion programa,5
evaluacion revision,5
evaluacion seguimiento,5
evento,5
excepcion,5
exportable,5
exportador,5
exposicion feria,5
exposicion feria concurso,5
exterior coordinacion organismo,5
exteriores,5
extraordinario,5
federal agropecuario,5
federal infraestructura,5
federal infraestructura regional,5
feria concurso,5
fiduciario federal,5
fiduciario federal infraestructura,5
financiamiento gestion,5
financiero contable,5
financiero contable programa,5
fomento desarrollo,5
fondo fiduciario federal,5
formativo,5
fortalecimiento institucional,5
fortalecimiento sistema,5
funcion autoridad aplicacion,5
funcionamiento consejo,5
ganaderia,5
general relativo materia,5
gobierno extranjero,5
gobierno nacion,5
gobierno nacional gobierno,5
grado,5
gubernamental gubernamental universidad,5
habilitacion,5
habilitacion fiscalizacion,5
hecho,5
hidrica,5
hombre,5
ilicito,5
implementacion politica publico,5
impositivo,5
impulso,5
incidencia,5
inciso constitucion,5
inciso constitucion nacional,5
informacion relativo,5
informatico,5
infraestructura regional,5
infraestructura regional creado,5
innovacion responsabilidad,5
innovacion responsabilidad primario,5
institucion publico,5
instrumentacion seguimiento,5
integracion regional,5
internacional competencia,5
internacional relacion,5
investigacion desarrollo tecnologico,5
investigacion estudio,5
judicial ministerio,5
judicial ministerio publico,5
jurisdiccion entidad administracion,5
jurisdiccion organismo,5
libertad,5
local internacional,5
manejo,5
marca,5
marcha,5
materia administracion,5
materia ejecucion,5
materia estudio,5
materia obra,5
materia promocion,5
medio comunicacion,5
mejoramiento calidad,5
mercado comun,5
metodologico,5
micro,5
minimo,5
ministerio distinto,5
ministerio economia secretario,5
ministro secretario,5
modalidad sistema,5
modalidad sistema educativo,5
modificatoria complementario,5
monetario,5
monetario internacional,5
movil,5
muestra,5
muestra mision,5
nacion argentino,5
nacion elaboracion,5
nacion provincia,5
nacion republica,5
nacional alto,5
nacional aplicacion,5
nacional ejecucion,5
nacional gestion,5
nacional informacion,5
nacional inversion,5
nacional poder,5
nacional programa,5
nacional provincia ciudad,5
nacional regional provincial,5
nacional relativo,5
nacional tecnologia,5
navegacion,5
negociacion acuerdo,5
negociacion internacional,5
negociacion organismo,5
nivel bilateral,5
nivel modalidad,5
nivel modalidad sistema,5
nombramiento,5
norma regulacion,5
norma regulacion licencia,5
objetivo desarrollo,5
ocde,5
oferta exportable,5
organismo administracion,5
organismo administracion publico,5
organismo competencia materia,5
organismo competente materia,5
organismo control area,5
organismo nacional competencia,5
organismo nacional internacional,5
organismo provincial,5
organismo publico nacional,5
organismo sistema,5
organizacion americano,5
organizacion comunitario,5
organizacion internacional,5
organizacion mundial,5
organizacion naciones,5
organizacion naciones unidas,5
organizacion social,5
orientado desarrollo,5
pais organismo,5
parlamentario,5
parte,5
pasajero,5
patrimonial,5
patrimonio,5
pequeno mediano empresa,5
perfeccionamiento,5
permanencia,5
perspectiva genero,5
perteneciente,5
plan politica,5
planificacion estrategia,5
planificacion implementacion,5
pleno,5
poder nacional,5
politica comercial,5
politica cooperacion,5
politica curso accion,5
politica descentralizacion,5
politica destinado,5
politica salarial,5
politica sanitario,5
politico economico,5
presencia,5
prestamo,5
presupuestaria,5
presupuestario financiero,5
previsto articulo,5
primario diseno,5
primario programa,5
principal,5
privado organizacion sociedad,5
problematico,5
proceso gestion,5
productivo coordinacion,5
productora,5
programa cooperacion,5
programa fortalecimiento,5
programa integrado,5
programa plan,5
promocion regulacion,5
propuesta elaboracion,5
propuesta plan nacional,5
propuesta politica,5
propuesta reforma,5
proteccion asistencia,5
proteccion civil,5
proteccion infraestructura,5
protocolo actuacion,5
provincial gobierno ciudad,5
provincial local,5
proyecto cooperacion tecnico,5
proyecto relacionado compensacion,5
publico gobierno,5
publico materia,5
publico nacional secretaria,5
publico programa,5
publico provincial,5
publico responsabilidad primario,5
pueblo,5
quimico,5
razon genero,5
regimen especial,5
regional creado,5
registro fiscalizacion,5
regulacion fiscalizacion,5
regulacion licencia,5
regulador,5
regularizacion dominial,5
relacion negociacion,5
relacion organismo internacional,5
relacionado compensacion,5
relativo materia,5
relativo politica,5
renovable,5
responsabilidad primario diseno,5
responsabilidad primario programa,5
reunion consulta,5
salario,5
salud poblacion,5
sanidad,5
secretaria analisis,5
secretaria aplicacion,5
secretaria gestion,5
secretaria materia,5
secretaria politica,5
secundario,5
sede,5
seguimiento evaluacion,5
seguimiento plan,5
servicio nacional,5
servicio transporte,5
sesion,5
sistema gestion,5
sistema integrado,5
sistema integral,5
sistema salud,5
social accion,5
social economico,5
social elaboracion,5
social integral,5
social pais,5
social promocion,5
social territorio,5
sociedad empresa,5
solicitud,5
subnacional,5
superintendencia,5
supervision obra,5
tarea vinculado,5
tarifa,5
tarifaria,5
tecnico administrativo,5
tecnologia informacion,5
tema prioritario,5
tema vinculado,5
tendencia,5
tendient cumplimiento,5
tendient fortalecimiento,5
tendient reduccion,5
tendient vinculacion,5
tercero,5
territorio nacion,5
territorio republica,5
terrorismo,5
transporte metropolitano,5
trato,5
unidad competente,5
universitario,5
vial,5
vigilancia,5
vinculado politica,5
vinculado tematica,5
vulnerable,5
